430,Chambolle-Musigny premier cru Les Plantes
431,Chambolle-Musigny premier cru Les Sentiers
753,Maranges premier cru Le Clos des Loyères
339,Bourgogne Hautes Côtes de Nuits
338,Bourgogne Hautes Côtes de Beaune
335,Blagny premier cru
334,Blagny premier cru Sous le Puits
337,Bourgogne
242,Auxey-Duresses premier cru La Chapelle
331,Blagny premier cru La Pièce sous le Bois
330,Blagny premier cru La Jeunellotte
333,Blagny premier cru Sous le Dos d'Ane
332,Blagny premier cru Sous Blagny
1189,Volnay premier cru La Gigotte
752,Maranges premier cru La Fussière
854,Montagny premier cru Les Vignes des Prés
818,Montagny premier cru Cornevent
856,Montagny premier cru Montcuchot
857,Montagny premier cru Mont Laurent
850,Montagny premier cru Les Resses
851,Montagny premier cru Les Treuffères
852,Montagny premier cru Les Vignes Derrière
853,Montagny premier cru Les Vignes longues
1210,Vosne-Romanée premier cru Aux Malconsorts
859,Montagny premier cru Sainte-Morille
193,Muscadet Coteaux de la Loire
248,Auxey-Duresses premier cru
6,ALSACE GRAND CRU BRAND
641,Mâcon Igé
1150,Roussette de Savoie Monthoux
547,Gevrey-Chambertin premier cru Champeaux
849,Montagny premier cru Les Platières
192,Muscadet
1055,Rully premier cru Pillot
99,Margaux
98,Marcillac
844,Montagny premier cru Les Macles
91,Jurançon
90,Irouléguy
93,Listrac-Médoc
92,Lalande-de-Pomerol
95,Lussac-Saint-Emilion
94,Loupiac
97,Pacherenc du Vic-Bilh
96,Madiran
1623,Côtes du Rhône Villages Massif d'Uchaux
1620,Corbières-Boutenac
1627,Gaillac rouge et rosé
1626,Côtes du Rhône Villages Signargues
1625,Côtes du Rhône Villages Puymeras
1624,Côtes du Rhône Villages Plan de Dieu
814,Meursault premier cru
1629,Mâcon Bray
1628,Mâcon
815,Montagny
925,Musigny
1058,Rully premier cru Raclot
153,Saint-Julien
995,Pommard premier cru Les Combes Dessus
559,Gevrey-Chambertin premier cru Issarts
558,Gevrey-Chambertin premier cru Fonteny
1217,Vosne-Romanée premier cru Les Chaumes
994,Pommard premier cru Les Charmots
555,Gevrey-Chambertin premier cru Craipillot
554,Gevrey-Chambertin premier cru Combe au Moine
557,Gevrey-Chambertin premier cru Estournelles-Saint-Jacques
556,Gevrey-Chambertin premier cru En Ergot
551,Gevrey-Chambertin premier cru Clos Saint-Jacques
550,Gevrey-Chambertin premier cru Clos Prieur
553,Gevrey-Chambertin premier cru Clos du Chapitre
552,Gevrey-Chambertin premier cru Clos des Varoilles
996,Pommard premier cru Les Croix Noires
238,Auxey-Duresses
239,Auxey-Duresses premier cru Bas des Duresses
234,Aloxe-Corton premier cru Les Vercots
235,Aloxe-Corton premier cru
236,Arbois
237,Arbois Pupillin
230,Aloxe-Corton premier cru Les Moutottes
426,Chambolle-Musigny premier cru Les Gruenchers
232,Aloxe-Corton premier cru Les Petites Folières
233,Aloxe-Corton premier cru Les Valozières
1098,Saint-Aubin premier cru Marinot
1051,Rully premier cru Le Meix Cadot
1052,Rully premier cru Le Meix Caillet
1053,Rully premier cru Molesme
1054,Rully premier cru Montpalais
993,Pommard premier cru Les Chaponnières
1056,Rully premier cru Préaux
1057,Rully premier cru Rabourcé
1191,Volnay premier cru Le Ronceret
1190,Volnay premier cru Lassolle
1193,Volnay premier cru Les Angles
992,Pommard premier cru Les Chanlins-Bas
1195,Volnay premier cru Les Brouillards
1197,Volnay premier cru Clos des 60 ouvrées
231,Aloxe-Corton premier cru Les Paulands
1,ALSACE
155,Sainte-Foy-Bordeaux
1278,Château-Grillet
1279,Châteauneuf-du-Pape
618,Ladoix premier cru
619,Latricières-Chambertin
1172,Volnay premier cru Champans
1170,Volnay premier cru Carelle sous la Chapelle
612,Ladoix premier cru Bois Roussot
613,Ladoix premier cru Hautes Mourottes
610,Ladoix
611,Ladoix premier cru Basses Mourottes
616,Ladoix premier cru Le Clou d'Orge
617,Ladoix premier cru Les Joyeuses
614,Ladoix premier cru La Corvée
615,Ladoix premier cru La Micaude
1007,Pouilly-Fuissé
754,Maranges premier cru Le Clos des Rois
1276,Cabardès
1006,Pommard premier cru
1887,Pays d'Auge Cambremer
1886,Crémant de Bordeaux
1885,Roussette de Savoie
1884,Roussette du Bugey
1883,Saint-Pourçain
1882,Saint-Emilion grand cru
1881,Crémant du Jura
1880,Crémant de Bourgogne
1284,Côte Rôtie
2123,Grignan-les-Adhémar
1286,Côtes du Rhône
1281,Clairette de Die
1280,Châtillon-en-Diois
1283,Cornas
1282,Condrieu
946,Nuits-Saint-Georges premier cru Clos des Grandes Vignes
947,Nuits-Saint-Georges premier cru Clos des Porrets-Saint-Georges
944,Nuits-Saint-Georges premier cru Clos des Corvées Pagets
879,Montrachet
1289,Côtes du Rhône Villages Cairanne
1288,Beaumes de Venise
940,Nuits-Saint-Georges premier cru Clos Saint-Marc
941,Nuits-Saint-Georges premier cru Clos de la Maréchale
1001,Pommard premier cru Les Poutures
1000,Pommard premier cru Les Petits Epenots
1306,Crozes-Hermitage
1307,Gigondas
1300,Côtes du Rhône Villages Séguret
1301,Côtes du Rhône Villages Valréas
1302,Vinsobres
872,Monthélie premier cru Le Village
1308,Hermitage
1309,Lirac
873,Monthélie premier cru Les Champs Fulliots
1059,Rully premier cru Vauvry
498,Chevalier-Montrachet
499,Chiroubles
494,Château-Chalon
495,Chénas
1196,Volnay premier cru Les Caillerets
490,Chassagne-Montrachet premier cru Vide Bourse
491,Chassagne-Montrachet premier cru Vigne Blanche
492,Chassagne-Montrachet premier cru Vigne Derrière
493,Chassagne-Montrachet premier cru
24,ALSACE GRAND CRU KITTERLE
25,ALSACE GRAND CRU MAMBOURG
26,ALSACE GRAND CRU MANDELBERG
27,ALSACE GRAND CRU MARCKRAIN
20,ALSACE GRAND CRU KASTELBERG
21,ALSACE GRAND CRU KESSLER
22,ALSACE GRAND CRU KIRCHBERG DE BARR
23,ALSACE GRAND CRU KIRCHBERG DE RIBEAUVILLE
1029,Régnié
927,Nuits-Saint-Georges premier cru Aux Argillas
28,ALSACE GRAND CRU MOENCHBERG
29,ALSACE GRAND CRU MUENCHBERG
820,Montagny premier cru L'Epaule
626,Mâcon Burgy
407,Chambertin-Clos de Bèze
406,Chambertin
1373,Lavilledieu
404,Chablis Grand Cru Valmur
1375,COTEAUX D'ANCENIS
402,Chablis Grand Cru Les Clos
401,Chablis Grand Cru Grenouilles
400,Chablis Grand Cru Bougros
1379,Côtes d'Auvergne
932,Nuits-Saint-Georges premier cru Aux Cras
931,Nuits-Saint-Georges premier cru Aux Champs Perdrix
930,Nuits-Saint-Georges premier cru Aux Chaignots
937,Nuits-Saint-Georges premier cru Chaines Carteaux
1342,Rivesaltes
409,Chambolle-Musigny premier cru Aux Beaux Bruns
408,Chambolle-Musigny
1167,Vin de Savoie Saint-Jeoire-Prieuré
1028,Puligny-Montrachet premier cru
758,Marsannay
1951,Pont-l'Évêque
1950,Cabernet de Saumur
1118,Santenay premier cru Les Gravières
1312,Tavel
1018,Puligny-Montrachet premier cru La Truffière
780,Mercurey premier cru Le Clos l'Evêque
379,Chablis premier cru Mont de Milieu
378,Chablis premier cru Les Lys
782,Mercurey premier cru Les Champs Martin
829,Montagny premier cru Les Bonneveaux
828,Montagny premier cru Les Beaux Champs
371,Chablis premier cru Côte des Prés-Girots
370,Chablis premier cru Côte de Vaubarousse
373,Chablis premier cru Fourchaume
372,Chablis premier cru Forêts
375,Chablis premier cru Les Beauregards
374,Chablis premier cru L'Homme Mort
377,Chablis premier cru Les Fourneaux
376,Chablis premier cru Les Epinottes
934,Nuits-Saint-Georges premier cru Aux Perdrix
1177,Volnay premier cru Clos de la Bousse d'Or
179,Jasnières
1176,Volnay premier cru Clos de la Barre
763,Mercurey premier cru Clos Marcilly
1871,Crémant de Die
1175,Volnay premier cru Clos de l'Audignac
393,Chablis premier cru Vaulorent
392,Chablis premier cru Vaugiraut
88,Haut-Médoc
390,Chablis premier cru Vau de Vey
397,Chablis premier cru
396,Chablis premier cru Vosgros
395,Chablis premier cru Vaux Ragons
394,Chablis premier cru Vaupulent
82,Entre-deux-Mers Haut-Benauge
83,Fronsac
80,Côtes du Marmandais
86,Graves
87,Graves de Vayres
84,Gaillac blanc
85,Gaillac premières côtes
797,Meursault premier cru Charmes
796,Meursault
1179,Volnay premier cru Clos de la Chapelle
794,Mercurey premier cru Les Saumonts
793,Mercurey premier cru Les Puillets
792,Mercurey premier cru Sazenay
762,Mercurey
929,Nuits-Saint-Georges premier cru Aux Bousselots
749,Maranges
799,Meursault premier cru Genevrières
798,Meursault premier cru Clos des Perrières
1270,Côtes du Roussillon Villages Lesquerde
7,ALSACE GRAND CRU BRUDERTHAL
1271,Côtes du Roussillon Villages Tautavel
1653,ALSACE GRAND CRU KAEFFERKOPF
170,Coteaux du Layon Chaume
1272,Faugères
1654,Languedoc Pézenas
1389,GROS PLANT DU PAYS NANTAIS
586,Givry premier cru Petit Marole
587,Givry premier cru Servoisine
584,Givry premier cru Les Grandes Vignes
1273,Fitou
582,Givry premier cru Clos du Vernoy
583,Givry premier cru Les Bois Chevaux
580,Givry premier cru Clos de la Baraude
581,Givry premier cru Clos du Cras long
1133,Savigny-lès-Beaune premier cru Les Hauts Jarrons
1274,Minervois
1131,Savigny-lès-Beaune premier cru La Dominode
1130,Savigny-lès-Beaune premier cru Champ Chevrey
1137,Savigny-lès-Beaune premier cru Les Marconnets
1136,Savigny-lès-Beaune premier cru Les Lavières
588,Givry premier cru Le Petit Prétan
589,Givry premier cru Le Paradis
245,Auxey-Duresses premier cru Les Ecussaux
244,Auxey-Duresses premier cru Les Duresses
247,Auxey-Duresses premier cru Reugne
246,Auxey-Duresses premier cru Les Grands Champs
241,Auxey-Duresses premier cru Clos du Val
240,Auxey-Duresses premier cru Climat du Val
243,Auxey-Duresses premier cru Les Bréterins
1666,Haut-Montravel
1277,Minervois-La Livinière
249,Bâtard-Montrachet
1665,Côtes de Montravel
786,Mercurey premier cru Les Fourneaux
1664,Saussignac
1380,Côtes d'Auvergne Boudes
768,Mercurey premier cru Clos des grands Voyens
1166,Vin de Savoie Saint-Jean-de-la-Porte
1381,Côtes d'Auvergne Chanturgue
519,Vin de Savoie Crépy
518,Côtes du Jura
926,Nuits-Saint-Georges
1009,Pouilly-Vinzelles
1008,Pouilly-Loché
511,Côte de Beaune-Villages
510,Côte de Beaune
1005,Pommard premier cru Les Saussilles
512,Côte de Brouilly
515,Côte roannaise
1002,Pommard premier cru Les Pézerolles
517,Coteaux du Lyonnais
516,Côte de Nuits-Villages
458,Chassagne-Montrachet premier cru La Chapelle
459,Chassagne-Montrachet premier cru La Grande Borne
1225,Vougeot premier cru Le Clos Blanc
1224,Vougeot premier cru Clos de la Perrière
1223,Vougeot
1222,Vosne-Romanée premier cru
1221,Vosne-Romanée premier cru Les Suchots
1220,Vosne-Romanée premier cru Les Rouges
450,Chassagne-Montrachet premier cru En Remilly
451,Chassagne-Montrachet premier cru En Virondot
452,Chassagne-Montrachet premier cru Ez Crets
453,Chassagne-Montrachet premier cru Ez Crottes
454,Chassagne-Montrachet premier cru Francemont
455,Chassagne-Montrachet premier cru Guerchère
456,Chassagne-Montrachet premier cru La Boudriotte
457,Chassagne-Montrachet premier cru La Cardeuse
1876,Bourgogne Passe-tout-grains
1877,Bourgogne aligoté
1875,Côtes de Bergerac
194,Muscadet Côtes de Grandlieu
1873,Muscat de Rivesaltes
1870,Crémant de Limoux
178,Crémant de Loire
177,Cour-Cheverny
176,Coteaux du Loir
175,Coteaux du Layon Saint-Lambert-du-Lattay
174,Coteaux du Layon Saint-Aubin-de-Luigné
173,Coteaux du Layon Rochefort-sur-Loire
172,Coteaux du Layon Rablay-sur-Layon
171,Coteaux du Layon Faye-d'Anjou
1879,Bourgogne mousseux
977,Pommard
656,Mâcon Verzé
975,Pernand-Vergelesses premier cru
974,Pernand-Vergelesses premier cru Vergelesses
973,Pernand-Vergelesses premier cru Les Fichots
972,Pernand-Vergelesses premier cru Ile des Vergelesses
971,Pernand-Vergelesses premier cru En Caradeux
970,Pernand-Vergelesses premier cru Creux de la Net
1080,Saint-Aubin premier cru En Montceau
654,Mâcon Uchizy
979,Pommard premier cru Clos de Verger
978,Pommard premier cru Clos Blanc
1120,Santenay premier cru Passetemps
180,Menetou-Salon
2,ALSACE KLEVNER DE HEILIGENSTEIN
1506,Muscat du Ventoux
653,Mâcon Solutré-Pouilly
1121,Santenay premier cru
767,Mercurey premier cru Clos des Barraults
197,Quarts de Chaume
399,Chablis Grand Cru Blanchot
1110,Santenay premier cru Beaurepaire
1367,Saint-Mont
650,Mâcon Prissé
191,Montlouis-sur-Loire
1287,Côtes du Rhône Villages
1125,Savigny-lès-Beaune premier cru Aux Gravains
1148,Roussette de Savoie Marestel
1126,Savigny-lès-Beaune premier cru Aux Guettes
1088,Saint-Aubin premier cru Le Puits
1227,Vougeot premier cru Les Petits Vougeots
11,ALSACE GRAND CRU FRANKSTEIN
10,ALSACE GRAND CRU FLORIMONT
13,ALSACE GRAND CRU FURSTENTUM
12,ALSACE GRAND CRU FROEHN
15,ALSACE GRAND CRU GLOECKELBERG
14,ALSACE GRAND CRU GEISBERG
17,ALSACE GRAND CRU HATSCHBOURG
16,ALSACE GRAND CRU GOLDERT
19,ALSACE GRAND CRU KANZLERBERG
18,ALSACE GRAND CRU HENGST
863,Montagny premier cru Vignes Couland
949,Nuits-Saint-Georges premier cru La Richemone
865,Montagny premier cru
864,Montagny premier cru Vignes Saint-Pierre
867,Monthélie premier cru La Taupine
866,Monthélie
787,Mercurey premier cru Les Montaigus
938,Nuits-Saint-Georges premier cru Château Gris
1226,Vougeot premier cru Les Crâs
1112,Santenay premier cru Clos Rousseau
1365,MOSELLE
883,Morey-Saint-Denis premier cru Clos Baulet
882,Morey-Saint-Denis premier cru Aux Cheseaux
881,Morey-Saint-Denis premier cru Aux Charmes
880,Morey-Saint-Denis
887,Morey-Saint-Denis premier cru La Bussière
886,Morey-Saint-Denis premier cru Côte Rotie
885,Morey-Saint-Denis premier cru Clos des Ormes
884,Morey-Saint-Denis premier cru Clos Sorbè
928,Nuits-Saint-Georges premier cru Aux Boudots
889,Morey-Saint-Denis premier cru Le Village
888,Morey-Saint-Denis premier cru La Riotte
943,Nuits-Saint-Georges premier cru Clos des Corvées
750,Maranges premier cru Clos de la Boutière
1370,TURSAN
648,Mâcon Péronne
950,Nuits-Saint-Georges premier cru Les Argillières
638,Mâcon Fuissé
657,Mâcon Vinzelles
756,Maranges premier cru Les Clos Roussots
649,Mâcon Pierreclos
1616,Côtes de Provence Sainte-Victoire
1617,Languedoc Terrasses du Larzac
1614,Saint-Chinian Berlou
1615,Saint-Chinian Roquebrun
1961,Rosé des Riceys
1963,Coteaux champenois
322,Beaune premier cru Pertuisots
323,Beaune premier cru Sur les Grèves
320,Beaune premier cru Les Vignes Franches
321,Beaune premier cru Montée Rouge
326,Bienvenues-Bâtard-Montrachet
327,Blagny
324,Beaune premier cru Sur les Grèves - Clos Saint-Anne
325,Beaune premier cru
328,Blagny premier cru Hameau de Blagny
329,Blagny premier cru La Garenne ou sur la Garenne
201,Saint-Nicolas-de-Bourgueil
200,Rosé de Loire
203,Saumur (vins tranquilles blancs)
202,Sancerre
205,Saumur mousseux
204,Saumur (vins tranquilles rouges)
207,Savennières Coulée de Serrant
206,Savennières
209,Touraine
948,Nuits-Saint-Georges premier cru En la Perrière Noblot
779,Mercurey premier cru Le Clos du Roy
778,Mercurey premier cru La Mission
1340,Muscat du Cap Corse
77,Fronton
75,Côtes de Duras
831,Montagny premier cru Les Bouchots
73,Côtes de Bordeaux-Saint-Macaire
72,Côtes de Blaye
71,Cérons
70,Canon Fronsac
1043,Rully premier cru Grésigny
869,Monthélie premier cru Le Château Gaillard
1041,Rully premier cru Clos du Chaigne
1040,Rully premier cru Clos St Jacques
1047,Rully premier cru La Renarde
1046,Rully premier cru La Pucelle
1045,Rully premier cru La Fosse
1044,Rully premier cru La Bressande
1132,Savigny-lès-Beaune premier cru Les Charnières
1048,Rully premier cru Les Pierres
1341,Rasteau
1681,Côtes de Bordeaux
208,Savennières Roche aux Moines
805,Meursault premier cru Les Cras
804,Meursault premier cru Les Caillerets
868,Monthélie premier cru Le Cas Rougeot
1142,Savigny-lès-Beaune premier cru Les Vergelesses
1143,Savigny-lès-Beaune premier cru Petits Godeaux
1269,Côtes du Roussillon Villages Latour-de-France
1268,Côtes du Roussillon Villages Caramany
1146,Seyssel
1147,Roussette de Savoie Frangy
1144,Savigny-lès-Beaune premier cru Redrescul
1145,Savigny-lès-Beaune premier cru
1263,Languedoc Saint-Saturnin
1262,Languedoc Saint-Georges-d'Orques
1261,Languedoc Saint-Drézéry
1260,Languedoc Saint-Christol
1267,Côtes du Roussillon Villages
1266,Côtes du Roussillon
1265,Languedoc blanc
1264,Languedoc Vérargues
215,Saumur-Champigny
775,Mercurey premier cru La Cailloute
210,Touraine Amboise
1599,Bugey Manicle
1303,Côtes du Rhône Villages Visan
105,NEAC
222,Aloxe-Corton premier cru Clos du Chapitre
951,Nuits-Saint-Georges premier cru Les Cailles
543,Gevrey-Chambertin
546,Gevrey-Chambertin premier cru Bel Air
1468,Epoisses
544,Gevrey-Chambertin premier cru Au Closeau
545,Gevrey-Chambertin premier cru Aux Combottes
8,ALSACE GRAND CRU EICHBERG
548,Gevrey-Chambertin premier cru Champonnet
549,Gevrey-Chambertin premier cru Cherbaudes
1019,Puligny-Montrachet premier cru Le Cailleret
1317,Bandol
1316,Ajaccio
997,Pommard premier cru Les Fremiers
1314,Côtes du Vivarais
991,Pommard premier cru Les Boucherottes
990,Pommard premier cru Les Bertins
1311,Saint-Péray
1310,Saint-Joseph
258,Beaujolais Emeringes
369,Chablis premier cru Côte de Savant
999,Pommard premier cru Les Jarolières
998,Pommard premier cru Les Grands Epenots
1319,Cassis
1318,Bellet
764,Mercurey premier cru Clos Tonnerre
1015,Puligny-Montrachet premier cru Clos de la Mouchère
154,Sainte-Croix-du-Mont
631,Mâcon Charnay-lès-Mâcon
765,Mercurey premier cru Clos Voyens
945,Nuits-Saint-Georges premier cru Clos des Forêts Saint-Georges
777,Mercurey premier cru La Levrière
1128,Savigny-lès-Beaune premier cru Basses Vergelesses
1010,Puligny-Montrachet
1022,Puligny-Montrachet premier cru Les Demoiselles
1821,Monthélie premier cru Les Cloux
1820,Monthélie premier cru Les Barbières
1011,Puligny-Montrachet premier cru Champ Canet
414,Chambolle-Musigny premier cru Les Amoureuses
415,Chambolle-Musigny premier cru Les Baudes
416,Chambolle-Musigny premier cru Les Borniques
417,Chambolle-Musigny premier cru Les Carrières
410,Chambolle-Musigny premier cru Aux Combottes
411,Chambolle-Musigny premier cru Aux Echanges
412,Chambolle-Musigny premier cru Derrière la Grange
413,Chambolle-Musigny premier cru La Combe d'Orveau
1384,Côtes d'Auvergne Madargues
1385,FIEFS VENDEENS BREM
1386,FIEFS VENDEENS MAREUIL
1387,FIEFS VENDEENS PISSOTTE
418,Chambolle-Musigny premier cru Les Chabiots
419,Chambolle-Musigny premier cru Les Charmes
1382,Côtes d'Auvergne Châteaugay
1383,Côtes d'Auvergne Corent
319,Beaune premier cru Les Tuvilains
318,Beaune premier cru Les Toussaints
313,Beaune premier cru Les Reversés
312,Beaune premier cru Les Perrières
311,Beaune premier cru Les Montrevenots
310,Beaune premier cru Les Marconnets
317,Beaune premier cru Les Teurons
316,Beaune premier cru Les Sizies
315,Beaune premier cru Les Seurey
314,Beaune premier cru Les Sceaux
1237,Clairette du Languedoc
1086,Saint-Aubin premier cru Le Bas de Gamay à l'Est
861,Montagny premier cru Sous les Feilles
1230,Saint-Bris
1338,Muscat de Mireval
832,Montagny premier cru Les Burnins
833,Montagny premier cru Les Chaniots
830,Montagny premier cru Les Bordes
781,Mercurey premier cru Les Byots
836,Montagny premier cru Les Combes
837,Montagny premier cru Les Coudrettes
834,Montagny premier cru Les Chaumelottes
835,Montagny premier cru Le Cloux
838,Montagny premier cru Les Coères
839,Montagny premier cru Les Craboulettes
808,Meursault premier cru Les Santenots Blancs
1335,Maury
3,ALSACE GRAND CRU ALTENBERG DE BERGBIETEN
1305,Ventoux
368,Chablis premier cru Côte de Léchet
1334,Grand Roussillon
366,Chablis premier cru Côte de Fontenay
367,Chablis premier cru Côte de Jouan
364,Chablis premier cru Côte de Bréchain
365,Chablis premier cru Côte de Cuissy
362,Chablis premier cru Chatains
363,Chablis premier cru Chaume de Talvat
360,Chablis premier cru Butteaux
361,Chablis premier cru Chapelot
840,Montagny premier cru Les Garchères
1336,Muscat de Beaumes-de-Venise
1138,Savigny-lès-Beaune premier cru Les Narbantons
1331,Les Baux de Provence
785,Mercurey premier cru Les Crêts
1050,Rully premier cru Marissou
1239,Clairette du Languedoc Aspiran
380,Chablis premier cru Montmains
381,Chablis premier cru Montée de Tonnerre
382,Chablis premier cru Morein
383,Chablis premier cru Mélinots
384,Chablis premier cru Pied d'Aloup
385,Chablis premier cru Roncières
386,Chablis premier cru Sécher
387,Chablis premier cru Troesmes
388,Chablis premier cru Vaillons
389,Chablis premier cru Vau Ligneau
1332,Banyuls
784,Mercurey premier cru Les Croichots
1188,Volnay premier cru Fremiets - Clos de la Rougeotte
1641,Bourgogne Tonnerre
1078,Saint-Aubin premier cru Echaille
1643,Mâconnais
783,Mercurey premier cru Les Combins
1396,Orléans-Cléry
148,Puisseguin-Saint-Emilion
1139,Savigny-lès-Beaune premier cru Les Peuillets
789,Mercurey premier cru Les Ruelles
860,Montagny premier cru Saint-Ytages
